查询日期,Excel代码,匹配Wind代码,证券简称,基本信息查询状态,行情查询状态,缺失指标,缺失字段代码,冲突或校验信息,记录状态,原因,来源会话,原始请求ID
2026-09-11,809090.IB,809090.IB,23北京21,partial,partial,一般/专项分类；收盘价到期收益率（%）；剩余期限（年）；修正久期（年）；收盘净价（元）,bondType;yieldPct;remainingYears;duration;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,a2c0db82-090c-488b-968d-250ebecc8e27,a53bb63b-3e2f-416f-ab5b-fa9632bd1c32;8906ebc2-e69a-4e83-99a3-3bac393f3d94
2026-09-11,809083.IB,809083.IB,23北京14,partial,partial,一般/专项分类；收盘价到期收益率（%）；剩余期限（年）；修正久期（年）；收盘净价（元）,bondType;yieldPct;remainingYears;duration;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,a2c0db82-090c-488b-968d-250ebecc8e27,a53bb63b-3e2f-416f-ab5b-fa9632bd1c32;8906ebc2-e69a-4e83-99a3-3bac393f3d94
2026-09-11,2405398.IB,2405398.IB,24湖北债16,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；修正久期（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;duration;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,e1262662-fa7e-413e-9249-e8786b53835c;fae50627-8320-4ab8-854f-f3974a631eeb
2026-09-11,2371079.IB,2371079.IB,23河北债49,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,5411959f-6114-4a46-aebf-5f82ab422101;60bcc3d2-4880-468b-8755-03f25df405f2
2026-09-11,2371074.IB,2371074.IB,23甘肃债28,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,5411959f-6114-4a46-aebf-5f82ab422101;60bcc3d2-4880-468b-8755-03f25df405f2
2026-09-11,2371048.IB,2371048.IB,23天津债50,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,5411959f-6114-4a46-aebf-5f82ab422101;60bcc3d2-4880-468b-8755-03f25df405f2
2026-09-11,2371036.IB,2371036.IB,23宁夏债12,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,5411959f-6114-4a46-aebf-5f82ab422101;60bcc3d2-4880-468b-8755-03f25df405f2
2026-09-11,2371001.IB,2371001.IB,23河南债42,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,5411959f-6114-4a46-aebf-5f82ab422101;60bcc3d2-4880-468b-8755-03f25df405f2
2026-09-11,234843.IB,234843.IB,25江苏29,partial,partial,一般/专项分类；票面利率（%）；收盘价到期收益率（%）；剩余期限（年）；修正久期（年）；收盘净价（元）,bondType;couponPct;yieldPct;remainingYears;duration;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率、剩余期限,3ad7078d-2eda-4b80-a2ca-268cfa025b75,68753a9d-c754-41ad-998d-a7f0f416f381;642bb404-788d-48ec-b9b0-b66bab57ba16
2026-09-11,2305998.IB,2305998.IB,23山西债39,partial,partial,一般/专项分类；收盘价到期收益率（%）；收盘净价（元）,bondType;yieldPct;closeNetPrice,,incomplete,缺失或无效：一般/专项分类、目标日有效到期收益率、到期收益率,3ad7078d-2eda-4b80-a2ca-268cfa025b75,e4238cec-6c38-47dc-8290-c6cef7659fdd;cce37d99-16a4-4218-9b54-3900aa2111fc
